#,ID,status,ai_edited,rag_input
1,jOt3fb0L9E0,1,1,1
2,Q_xY7PAXZOk,1,1,1
3,_O7sMY6NA0k,1,1,1
4,ugEzMoyCgUQ,1,1,1
5,hC-H0jUa0u0,1,1,1
6,XvM-yEE-PwE,1,1,1
7,fMeKNA1TdNQ,1,1,1
8,W3CEqEtF7Ls,1,1,1
9,O2Q-UIqZMhU,1,1,1
10,JXJnpZzAThI,1,1,1
11,VT-iCBC4U_A,1,1,1
12,H2eMWdsie6o,1,1,1
13,rarRyXXsukM,1,1,1
14,qV_J2bw3ZHE,1,1,1
15,F61oudimpjk,1,1,1
16,P8YcG_aoMoM,1,1,1
17,kB47xWHOu08,1,1,1
18,UJBA4Rz7y4s,1,1,1
19,4_ilvp8UvIo,1,1,1
20,dr0ZVncHy3g,1,1,1
21,vW0nZp-1njA,1,1,1
22,j0FryJyPXrA,1,1,1
23,WwR_SRJeYpw,1,1,1
24,pNYOlP8dLSM,1,1,1
25,Vts7bsMqjUw,1,1,1
26,HpVVPzY0Qfs,1,1,1
27,qYJLJ5SepFo,1,1,1
28,fyTdXLYlUDE,1,1,1
29,_gfGNH2KdwM,1,1,1
30,frjRqx-OpHc,1,1,1
31,dKep_KloITM,1,1,1
32,j20N0y2_VY8,1,1,1
33,PqfUVg_o5qs,1,1,1
34,oMhSdVzU2Xk,1,1,1
35,tYJYQJNMfpc,1,1,1
36,2X9l-nOSBOU,1,1,1
37,RwHLBRpQaNo,1,1,1
38,Rah9-eK7RTg,1,1,1
39,8S1zaEFU38A,1,1,1
40,k8807k1Ho6k,1,1,1
41,rBJt3FfNH8o,1,1,1
42,WnMbvUeepQ0,1,1,1
43,0pfBSPAE5vg,1,1,1
44,9i_ErEjMhJ8,1,1,1
45,4QnCXCXKywM,1,1,1
46,XKRI_SWQmuU,1,1,1
47,AiJ9SUbYO-o,1,1,1
48,QHD0lCP0fls,1,1,1
49,UcHDO8Ikk6M,1,1,1
50,HXmG2DBlq10,1,1,1
51,Zi69U8-4i3A,1,1,1
52,ZNqsjCqqbdA,1,1,1
53,GiA-gAsN5qI,1,1,1
54,h2-cl27Hig8,1,1,1
55,yyyRjx5G3OI,1,1,1
56,HKXflH0zmsM,1,1,1
57,2uE6PeHRtV8,1,1,1
58,1kX0VQd73J4,1,1,1
59,_7VZC_nbpxY,1,1,1
60,hm0Fpxomlks,1,1,1
61,_tRgwRJMlH0,1,1,1
62,0gY0mv_2e6I,1,1,1
63,GUtNb267PFM,1,1,1
64,o86j5vkcRNs,1,1,1
65,0kfM89EYzTI,1,1,1
66,IBXwqEJZyDc,1,1,1
67,LN2_opzJf1M,1,1,1
68,331xnpIubyg,1,1,1
69,RYv-RmZwcgA,1,1,1
70,iRFKPhfP4n4,1,1,1
71,29Aigg9FJI4,1,1,1
72,bUGEfnPyh0Q,1,1,1
73,eeIViIQvCTs,1,1,1
74,yWglZCp4G1I,1,1,1
75,eNPtfOwIRJY,1,1,1
76,bgmM_Zb5d00,1,1,1
77,s2zgGtezC-M,1,1,1
